data_as_of,death_year,death_month,jurisdiction_occurrence,drug_involved,time_period,month_ending_date,drug_overdose_deaths,footnote
01/05/2025,2019,1,United States,Cocaine,12 month-ending,01/31/2019,15613,
01/05/2025,2019,1,United States,Fentanyl,12 month-ending,01/31/2019,30367,
01/05/2025,2019,1,United States,Gabapentin,12 month-ending,01/31/2019,1935,
01/05/2025,2019,1,United States,Heroin,12 month-ending,01/31/2019,15475,
01/05/2025,2019,1,United States,Methamphetamine,12 month-ending,01/31/2019,12059,
01/05/2025,2019,1,United States,Oxycodone,12 month-ending,01/31/2019,5029,
01/05/2025,2019,1,United States,Xylazine,12 month-ending,01/31/2019,359,
01/05/2025,2019,2,United States,Cocaine,12 month-ending,02/28/2019,15607,
01/05/2025,2019,2,United States,Fentanyl,12 month-ending,02/28/2019,30533,
01/05/2025,2019,2,United States,Gabapentin,12 month-ending,02/28/2019,1955,
01/05/2025,2019,2,United States,Heroin,12 month-ending,02/28/2019,15455,
01/05/2025,2019,2,United States,Methamphetamine,12 month-ending,02/28/2019,12219,
01/05/2025,2019,2,United States,Oxycodone,12 month-ending,02/28/2019,4976,
01/05/2025,2019,2,United States,Xylazine,12 month-ending,02/28/2019,374,
01/05/2025,2019,3,United States,Cocaine,12 month-ending,03/31/2019,15568,
01/05/2025,2019,3,United States,Fentanyl,12 month-ending,03/31/2019,30818,
01/05/2025,2019,3,United States,Gabapentin,12 month-ending,03/31/2019,1966,
01/05/2025,2019,3,United States,Heroin,12 month-ending,03/31/2019,15390,
01/05/2025,2019,3,United States,Methamphetamine,12 month-ending,03/31/2019,12476,
01/05/2025,2019,3,United States,Oxycodone,12 month-ending,03/31/2019,4894,
01/05/2025,2019,3,United States,Xylazine,12 month-ending,03/31/2019,422,
01/05/2025,2019,4,United States,Cocaine,12 month-ending,04/30/2019,15565,
01/05/2025,2019,4,United States,Fentanyl,12 month-ending,04/30/2019,31035,
01/05/2025,2019,4,United States,Gabapentin,12 month-ending,04/30/2019,1940,
01/05/2025,2019,4,United States,Heroin,12 month-ending,04/30/2019,15288,
01/05/2025,2019,4,United States,Methamphetamine,12 month-ending,04/30/2019,12708,
01/05/2025,2019,4,United States,Oxycodone,12 month-ending,04/30/2019,4852,
01/05/2025,2019,4,United States,Xylazine,12 month-ending,04/30/2019,463,
01/05/2025,2019,5,United States,Cocaine,12 month-ending,05/31/2019,15554,
01/05/2025,2019,5,United States,Fentanyl,12 month-ending,05/31/2019,31226,
01/05/2025,2019,5,United States,Gabapentin,12 month-ending,05/31/2019,1932,
01/05/2025,2019,5,United States,Heroin,12 month-ending,05/31/2019,15195,
01/05/2025,2019,5,United States,Methamphetamine,12 month-ending,05/31/2019,12969,
01/05/2025,2019,5,United States,Oxycodone,12 month-ending,05/31/2019,4794,
01/05/2025,2019,5,United States,Xylazine,12 month-ending,05/31/2019,488,
01/05/2025,2019,6,United States,Cocaine,12 month-ending,06/30/2019,15537,
01/05/2025,2019,6,United States,Fentanyl,12 month-ending,06/30/2019,31432,
01/05/2025,2019,6,United States,Gabapentin,12 month-ending,06/30/2019,1993,
01/05/2025,2019,6,United States,Heroin,12 month-ending,06/30/2019,15054,
01/05/2025,2019,6,United States,Methamphetamine,12 month-ending,06/30/2019,13201,
01/05/2025,2019,6,United States,Oxycodone,12 month-ending,06/30/2019,4749,
01/05/2025,2019,6,United States,Xylazine,12 month-ending,06/30/2019,530,
01/05/2025,2019,7,United States,Cocaine,12 month-ending,07/31/2019,15643,
01/05/2025,2019,7,United States,Fentanyl,12 month-ending,07/31/2019,31861,
01/05/2025,2019,7,United States,Gabapentin,12 month-ending,07/31/2019,2093,
01/05/2025,2019,7,United States,Heroin,12 month-ending,07/31/2019,14959,
01/05/2025,2019,7,United States,Methamphetamine,12 month-ending,07/31/2019,13487,
01/05/2025,2019,7,United States,Oxycodone,12 month-ending,07/31/2019,4711,
01/05/2025,2019,7,United States,Xylazine,12 month-ending,07/31/2019,607,
01/05/2025,2019,8,United States,Cocaine,12 month-ending,08/31/2019,15822,
